run_id,task,variable,config_id,activation,beta,seed,repetition,run_kind,phase,purpose,status,branch,commit,base_commit,code_state_hash,config_hash,environment_hash,dataset_hash,split_seed,split_hash,initial_weights_hash,final_weights_hash,epochs,optimizer,learning_rate,train_samples,val_samples,parameters,train_loss_final,val_loss_final,train_accuracy,val_accuracy,test_accuracy,flops_per_epoch,flops_total,gflops_total,inference_flops_total,inference_flops_per_sample,checkpoint_path,checkpoint_hash,log_path,notes
S-BETA-1-s0-r1,adult_binary_classification,V2_softplus_curvature,S-BETA-1,softplus_beta,1.0,0,1,scientific,v2_train_validation,primary,completed_valid,q01-ativacoes-adult,26e44737c99645d9e638f7db62fce8f8ffb11cf0,07243dc6591f5c30c654813313b43fb6159e7fb0,0ddd4955554126e152725d1767774fe5eaa3b977c8ed2d05df707eee91f00e8e,a1e70a2e60683057ddbe878d1223e5b23405a43ce763d0b2ec0bc676c3bbdd7b,c4e86b6a1a236420dac11c4b5d2a7dedd2c4fff3389cd5a1cdca73eb46a9bb8f,b67c409c6f3fd0bfa90455e629af7d9b672260cb9267ae949103081a3fad1dfa,0,118bb0951fa1e0c4d88a4bbb493635d132492e2a52fb94698b792a99cec47bc0,9b1fe0ce77aacdb4ec92847cb6026b61ec028f18a3948ee85873448d664f4596,8e3dda11f5f9d46875525f6557d20b1b0fcbba10cbdc4e0a66f0dec82769b154,100,Adam,0.01,26049,6512,7106,0.3103006570086815,0.3246505111400785,0.8558102038465968,0.8485872235872236,,850711121,85071112100,85.0711121,94632384,14532.0,experiments/v2/checkpoints/S-BETA-1-s0-r1.npz,2e97e5c6a01b673a998dccfa251830173c22752324253285fc9afee0e9204fa5,experiments/v2/logs/S-BETA-1-s0-r1.jsonl,official_test_not_loaded
S-BETA-1-s1-r1,adult_binary_classification,V2_softplus_curvature,S-BETA-1,softplus_beta,1.0,1,1,scientific,v2_train_validation,primary,completed_valid,q01-ativacoes-adult,26e44737c99645d9e638f7db62fce8f8ffb11cf0,07243dc6591f5c30c654813313b43fb6159e7fb0,0ddd4955554126e152725d1767774fe5eaa3b977c8ed2d05df707eee91f00e8e,a1e70a2e60683057ddbe878d1223e5b23405a43ce763d0b2ec0bc676c3bbdd7b,c4e86b6a1a236420dac11c4b5d2a7dedd2c4fff3389cd5a1cdca73eb46a9bb8f,b67c409c6f3fd0bfa90455e629af7d9b672260cb9267ae949103081a3fad1dfa,0,118bb0951fa1e0c4d88a4bbb493635d132492e2a52fb94698b792a99cec47bc0,d34dd1e6783a999faff6e235aefd23cd1e85a06bbe126423aec25bb1d8f867ae,dfe6b72dcb0629a36720df05631443a3b96287c44211a7fe2fede8fde453eb71,100,Adam,0.01,26049,6512,7106,0.307901508411628,0.3226461680896275,0.8570770471035356,0.847972972972973,,850711121,85071112100,85.0711121,94632384,14532.0,experiments/v2/checkpoints/S-BETA-1-s1-r1.npz,d247211834c58f5d9c511f710682184db96ed096500f687c01e75c6b4bdfe561,experiments/v2/logs/S-BETA-1-s1-r1.jsonl,official_test_not_loaded
S-BETA-1-s2-r1,adult_binary_classification,V2_softplus_curvature,S-BETA-1,softplus_beta,1.0,2,1,scientific,v2_train_validation,primary,completed_valid,q01-ativacoes-adult,26e44737c99645d9e638f7db62fce8f8ffb11cf0,07243dc6591f5c30c654813313b43fb6159e7fb0,0ddd4955554126e152725d1767774fe5eaa3b977c8ed2d05df707eee91f00e8e,a1e70a2e60683057ddbe878d1223e5b23405a43ce763d0b2ec0bc676c3bbdd7b,c4e86b6a1a236420dac11c4b5d2a7dedd2c4fff3389cd5a1cdca73eb46a9bb8f,b67c409c6f3fd0bfa90455e629af7d9b672260cb9267ae949103081a3fad1dfa,0,118bb0951fa1e0c4d88a4bbb493635d132492e2a52fb94698b792a99cec47bc0,0310d0d1c0c02d2fc0754b90f2d9b35150972361d64c9333bf52541163c26a29,1b5282cc536c6487e489ed1a668b4c189f91c5a153332a1f7a69b57614dd692b,100,Adam,0.01,26049,6512,7106,0.3058401312306201,0.3201724141129725,0.8584590579292871,0.8499692874692875,,850711121,85071112100,85.0711121,94632384,14532.0,experiments/v2/checkpoints/S-BETA-1-s2-r1.npz,171148612dddfe4fcc73f41b0525ddfa4ac3459af6c8714f4afdc57cc5978984,experiments/v2/logs/S-BETA-1-s2-r1.jsonl,official_test_not_loaded
S-BETA-0.5-s0-r1,adult_binary_classification,V2_softplus_curvature,S-BETA-0.5,softplus_beta,0.5,0,1,scientific,v2_train_validation,primary,completed_valid,q01-ativacoes-adult,26e44737c99645d9e638f7db62fce8f8ffb11cf0,07243dc6591f5c30c654813313b43fb6159e7fb0,0ddd4955554126e152725d1767774fe5eaa3b977c8ed2d05df707eee91f00e8e,a1e70a2e60683057ddbe878d1223e5b23405a43ce763d0b2ec0bc676c3bbdd7b,c4e86b6a1a236420dac11c4b5d2a7dedd2c4fff3389cd5a1cdca73eb46a9bb8f,b67c409c6f3fd0bfa90455e629af7d9b672260cb9267ae949103081a3fad1dfa,0,118bb0951fa1e0c4d88a4bbb493635d132492e2a52fb94698b792a99cec47bc0,9b1fe0ce77aacdb4ec92847cb6026b61ec028f18a3948ee85873448d664f4596,c1cbe311dc59593b936970bcad87983bf5632009fb6b47c846fbaf67cc6ab41e,100,Adam,0.01,26049,6512,7106,0.31325677265774826,0.3270201099709564,0.8550040308649084,0.8473587223587223,,850711121,85071112100,85.0711121,94632384,14532.0,experiments/v2/checkpoints/S-BETA-0.5-s0-r1.npz,7cfab6a735325422c244297f43c8cd1aeca62129b709a8146d44eb4666270963,experiments/v2/logs/S-BETA-0.5-s0-r1.jsonl,official_test_not_loaded
S-BETA-0.5-s1-r1,adult_binary_classification,V2_softplus_curvature,S-BETA-0.5,softplus_beta,0.5,1,1,scientific,v2_train_validation,primary,completed_valid,q01-ativacoes-adult,26e44737c99645d9e638f7db62fce8f8ffb11cf0,07243dc6591f5c30c654813313b43fb6159e7fb0,0ddd4955554126e152725d1767774fe5eaa3b977c8ed2d05df707eee91f00e8e,a1e70a2e60683057ddbe878d1223e5b23405a43ce763d0b2ec0bc676c3bbdd7b,c4e86b6a1a236420dac11c4b5d2a7dedd2c4fff3389cd5a1cdca73eb46a9bb8f,b67c409c6f3fd0bfa90455e629af7d9b672260cb9267ae949103081a3fad1dfa,0,118bb0951fa1e0c4d88a4bbb493635d132492e2a52fb94698b792a99cec47bc0,d34dd1e6783a999faff6e235aefd23cd1e85a06bbe126423aec25bb1d8f867ae,56f2d68a76604fc76d25d0957134d075a143ada07c960333972705251a9ec66f,100,Adam,0.01,26049,6512,7106,0.3128399521762913,0.32661150561605257,0.8550424200545127,0.8476658476658476,,850711121,85071112100,85.0711121,94632384,14532.0,experiments/v2/checkpoints/S-BETA-0.5-s1-r1.npz,a20f67b38942b44e5e132fa205b40af7c78bcef232699209213608a7bccf2838,experiments/v2/logs/S-BETA-0.5-s1-r1.jsonl,official_test_not_loaded
S-BETA-0.5-s2-r1,adult_binary_classification,V2_softplus_curvature,S-BETA-0.5,softplus_beta,0.5,2,1,scientific,v2_train_validation,primary,completed_valid,q01-ativacoes-adult,26e44737c99645d9e638f7db62fce8f8ffb11cf0,07243dc6591f5c30c654813313b43fb6159e7fb0,0ddd4955554126e152725d1767774fe5eaa3b977c8ed2d05df707eee91f00e8e,a1e70a2e60683057ddbe878d1223e5b23405a43ce763d0b2ec0bc676c3bbdd7b,c4e86b6a1a236420dac11c4b5d2a7dedd2c4fff3389cd5a1cdca73eb46a9bb8f,b67c409c6f3fd0bfa90455e629af7d9b672260cb9267ae949103081a3fad1dfa,0,118bb0951fa1e0c4d88a4bbb493635d132492e2a52fb94698b792a99cec47bc0,0310d0d1c0c02d2fc0754b90f2d9b35150972361d64c9333bf52541163c26a29,00761992800ba350ea1947aa07f6fd60956f29dc519b8ce4ccc0b1f27f830a0b,100,Adam,0.01,26049,6512,7106,0.31249802387072495,0.3261789088701479,0.8555414795193673,0.8473587223587223,,850711121,85071112100,85.0711121,94632384,14532.0,experiments/v2/checkpoints/S-BETA-0.5-s2-r1.npz,0b01717253812f434b022f311d30496db9684e084170ce6b9049cbc17b9db6c3,experiments/v2/logs/S-BETA-0.5-s2-r1.jsonl,official_test_not_loaded
S-BETA-2-s0-r1,adult_binary_classification,V2_softplus_curvature,S-BETA-2,softplus_beta,2.0,0,1,scientific,v2_train_validation,primary,completed_valid,q01-ativacoes-adult,26e44737c99645d9e638f7db62fce8f8ffb11cf0,07243dc6591f5c30c654813313b43fb6159e7fb0,0ddd4955554126e152725d1767774fe5eaa3b977c8ed2d05df707eee91f00e8e,a1e70a2e60683057ddbe878d1223e5b23405a43ce763d0b2ec0bc676c3bbdd7b,c4e86b6a1a236420dac11c4b5d2a7dedd2c4fff3389cd5a1cdca73eb46a9bb8f,b67c409c6f3fd0bfa90455e629af7d9b672260cb9267ae949103081a3fad1dfa,0,118bb0951fa1e0c4d88a4bbb493635d132492e2a52fb94698b792a99cec47bc0,9b1fe0ce77aacdb4ec92847cb6026b61ec028f18a3948ee85873448d664f4596,39f0d6274090aefeec732d1a6566eacad9502794182e1bc413c9b840fe659cd6,100,Adam,0.01,26049,6512,7106,0.3032900782731649,0.31953121671595885,0.8594571768589965,0.8487407862407862,,850711121,85071112100,85.0711121,94632384,14532.0,experiments/v2/checkpoints/S-BETA-2-s0-r1.npz,8641d0a120c03d5b100475adbd5c7e8691f3e590e1d90f1972978783cce091e9,experiments/v2/logs/S-BETA-2-s0-r1.jsonl,official_test_not_loaded
S-BETA-2-s1-r1,adult_binary_classification,V2_softplus_curvature,S-BETA-2,softplus_beta,2.0,1,1,scientific,v2_train_validation,primary,completed_valid,q01-ativacoes-adult,26e44737c99645d9e638f7db62fce8f8ffb11cf0,07243dc6591f5c30c654813313b43fb6159e7fb0,0ddd4955554126e152725d1767774fe5eaa3b977c8ed2d05df707eee91f00e8e,a1e70a2e60683057ddbe878d1223e5b23405a43ce763d0b2ec0bc676c3bbdd7b,c4e86b6a1a236420dac11c4b5d2a7dedd2c4fff3389cd5a1cdca73eb46a9bb8f,b67c409c6f3fd0bfa90455e629af7d9b672260cb9267ae949103081a3fad1dfa,0,118bb0951fa1e0c4d88a4bbb493635d132492e2a52fb94698b792a99cec47bc0,d34dd1e6783a999faff6e235aefd23cd1e85a06bbe126423aec25bb1d8f867ae,e2621a8307d440a03092367e0a1d22d120fea332dcf0acb0377404e68b9fd042,100,Adam,0.01,26049,6512,7106,0.296849399217829,0.316121196471385,0.8633344850090214,0.850583538083538,,850711121,85071112100,85.0711121,94632384,14532.0,experiments/v2/checkpoints/S-BETA-2-s1-r1.npz,0622119b4a885f2086a4332b49f5548ee943b51cbcfbe2bd5bbbc4fae6063549,experiments/v2/logs/S-BETA-2-s1-r1.jsonl,official_test_not_loaded
S-BETA-2-s2-r1,adult_binary_classification,V2_softplus_curvature,S-BETA-2,softplus_beta,2.0,2,1,scientific,v2_train_validation,primary,completed_valid,q01-ativacoes-adult,26e44737c99645d9e638f7db62fce8f8ffb11cf0,07243dc6591f5c30c654813313b43fb6159e7fb0,0ddd4955554126e152725d1767774fe5eaa3b977c8ed2d05df707eee91f00e8e,a1e70a2e60683057ddbe878d1223e5b23405a43ce763d0b2ec0bc676c3bbdd7b,c4e86b6a1a236420dac11c4b5d2a7dedd2c4fff3389cd5a1cdca73eb46a9bb8f,b67c409c6f3fd0bfa90455e629af7d9b672260cb9267ae949103081a3fad1dfa,0,118bb0951fa1e0c4d88a4bbb493635d132492e2a52fb94698b792a99cec47bc0,0310d0d1c0c02d2fc0754b90f2d9b35150972361d64c9333bf52541163c26a29,75ee85309268623471dcd59f6d7b292d06866e21e288cb57b26bd48b8e0f7a05,100,Adam,0.01,26049,6512,7106,0.2984010788671637,0.3149149987228181,0.8629889823025836,0.8518120393120393,,850711121,85071112100,85.0711121,94632384,14532.0,experiments/v2/checkpoints/S-BETA-2-s2-r1.npz,f6fa47771683ae2b8b0409b3e83efdaa11b2d20e56028179bdec07c67a8d9f49,experiments/v2/logs/S-BETA-2-s2-r1.jsonl,official_test_not_loaded
S-BETA-5-s0-r1,adult_binary_classification,V2_softplus_curvature,S-BETA-5,softplus_beta,5.0,0,1,scientific,v2_train_validation,primary,completed_valid,q01-ativacoes-adult,26e44737c99645d9e638f7db62fce8f8ffb11cf0,07243dc6591f5c30c654813313b43fb6159e7fb0,0ddd4955554126e152725d1767774fe5eaa3b977c8ed2d05df707eee91f00e8e,a1e70a2e60683057ddbe878d1223e5b23405a43ce763d0b2ec0bc676c3bbdd7b,c4e86b6a1a236420dac11c4b5d2a7dedd2c4fff3389cd5a1cdca73eb46a9bb8f,b67c409c6f3fd0bfa90455e629af7d9b672260cb9267ae949103081a3fad1dfa,0,118bb0951fa1e0c4d88a4bbb493635d132492e2a52fb94698b792a99cec47bc0,9b1fe0ce77aacdb4ec92847cb6026b61ec028f18a3948ee85873448d664f4596,07efb0f669ddb12dcb65b16745517112c527c585800de4edf58fb0ac5b26029d,100,Adam,0.01,26049,6512,7106,0.2899074673401692,0.31754122814297636,0.8672117931590464,0.8513513513513513,,850711121,85071112100,85.0711121,94632384,14532.0,experiments/v2/checkpoints/S-BETA-5-s0-r1.npz,90966629bb5024f67fef3ec4898f983dde7a8dc91f32b5bf3ccd042769451fdb,experiments/v2/logs/S-BETA-5-s0-r1.jsonl,official_test_not_loaded
